"gene","logFC","SE","statistic","P_value","FDR","mean_expression","AveExpr","t","P.Value","adj.P.Val","B"
"ICAM3",0.318740590020576,0.299482076160023,0.934460932890021,0.360632688171993,0.67638797427018,7.0470831406893,7.0470831406893,0.934460932890021,0.360632688171993,0.67638797427018,-4.59858819831473
"CARD8",0.363279534104938,0.402881891251673,0.878103384968304,0.389852784695855,0.691984970008241,6.27402309605012,6.27402309605012,0.878103384968304,0.389852784695855,0.691984970008241,-4.6009530337389
"RHOH",-0.346463487535612,0.44569780544388,-0.776822090052779,0.44596798411703,0.726416440093072,5.03529261837211,5.03529261837211,-0.776822090052779,0.44596798411703,0.726416440093072,-4.6048821010145
"LYPD3",0.856224514888302,0.905600349746692,1.04238402097098,0.309142810702669,0.652873429224126,6.20283298172399,6.20283298172399,1.04238402097098,0.309142810702669,0.652873429224126,-4.59371505368776
"SNAP91",0.844550836052322,0.410701118292244,2.01322408352929,0.0571440915033926,0.624223528415956,4.16218877005438,4.16218877005438,2.01322408352929,0.0571440915033926,0.624223528415956,-4.53443010364067
"DYRK1B",0.754004344341564,0.587094544684323,1.3526597962001,0.190619470011988,0.624223528415956,5.64929990005144,5.64929990005144,1.3526597962001,0.190619470011988,0.624223528415956,-4.57744424377983
"SRPX",0.150666926139036,0.292867534240844,0.447461891833748,0.659099218698372,0.840056082060568,6.25520093328557,6.25520093328557,0.447461891833748,0.659099218698372,0.840056082060568,-4.61458681496664
"MTAP",0.0732251501028808,0.233480752620746,0.244510952780039,0.809195986942816,0.916502969041368,4.83159743369342,4.83159743369342,0.244510952780039,0.809195986942816,0.916502969041368,-4.61805053416013
"ORC5",0.558862889300411,0.320139660160776,1.57412162776082,0.130327698075028,0.624223528415956,4.88621825380658,4.88621825380658,1.57412162776082,0.130327698075028,0.624223528415956,-4.56404663495307
"PLK3",0.0458893711493248,0.258883727107864,0.145724302717813,0.885521513225578,0.954234523082799,6.24033765244709,6.24033765244709,0.145724302717813,0.885521513225578,0.954234523082799,-4.6190091915488
"MNDA",0.203826956562317,0.620836250889105,0.34857485569427,0.730895634900261,0.877996446161398,7.52611062367357,7.52611062367357,0.34857485569427,0.730895634900261,0.877996446161398,-4.61652158074433
"PTPRCAP",0.342028786676955,0.34237719316778,0.923345474218173,0.366261118262777,0.679474973089939,6.64781280727881,6.64781280727881,0.923345474218173,0.366261118262777,0.679474973089939,-4.59906485819574
"NCF1",0.519974277057613,0.479632924637005,1.10121073982178,0.283327124346526,0.638961691885654,7.24194126095679,7.24194126095679,1.10121073982178,0.283327124346526,0.638961691885654,-4.5908787550855
"CENPA",0.389084383612581,0.336195212332942,1.0627621740041,0.299896527166344,0.647185159086652,4.35176503946943,4.35176503946943,1.0627621740041,0.299896527166344,0.647185159086652,-4.59274539483601
"SSPN",-0.939852245936214,0.671000985712052,-1.50200545525647,0.148055766892609,0.624223528415956,7.00955297106481,7.00955297106481,-1.50200545525647,0.148055766892609,0.624223528415956,-4.56857092112304
"GC",0.579481638227514,0.514705310016508,1.15975806989861,0.259226434984854,0.633789665891547,2.77785026921664,2.77785026921664,1.15975806989861,0.259226434984854,0.633789665891547,-4.58793518220471
"BAI2",1.20217533325985,0.613108337674284,2.07820754534058,0.0502033850513738,0.624223528415956,4.63458142599206,4.63458142599206,2.07820754534058,0.0502033850513738,0.624223528415956,-4.52978886940779
