"file","cell","group","major_cell_type","subcluster","macrophage_score","efferocytosis_score","noncontractile_vsmc_score"
"GSM8121894_athero_human_1.txt.gz","Plate_733s_D24","asymptomatic","macrophage","macrophage_S2",0.703771735233785,-0.209419069582134,-0.624652916885224
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E06","asymptomatic","macrophage","macrophage_S2",1.36091099707678,0.356177508362862,-0.231731052593202
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E08","asymptomatic","macrophage","macrophage_S2",1.39601664328428,0.11673709025866,-0.457386929869654
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E11","asymptomatic","macrophage","macrophage_S1",1.18911297392048,0.886984596179192,-0.257412028118122
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E12","asymptomatic","macrophage","macrophage_S2",0.957889278793749,-0.303152197695177,-0.63630719347916
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E19","asymptomatic","macrophage","macrophage_S2",1.72913634637049,0.0133953083496193,-0.635352481807514
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E20","asymptomatic","macrophage","macrophage_S2",1.39664709382372,0.0292603608433987,-0.378444670327651
"GSM8121894_athero_human_1.txt.gz","Plate_733s_E24","asymptomatic","macrophage","macrophage_S2",1.70043245773924,-0.224004631281301,-0.607107896551493
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F02","asymptomatic","macrophage","macrophage_S2",0.749423462473757,-0.385623183579178,-0.506436907151436
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F03","asymptomatic","macrophage","macrophage_S2",1.53700163473642,-0.25432771619925,-0.545188963574671
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F05","asymptomatic","macrophage","macrophage_S2",1.09054959089181,0.201515950705341,-0.643667339827523
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F08","asymptomatic","macrophage","macrophage_S2",0.55962773662622,-0.138121100257645,-0.418841274792811
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F09","asymptomatic","macrophage","macrophage_S2",1.19150721721415,0.219078419651759,-0.503160899583854
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F11","asymptomatic","macrophage","macrophage_S2",0.608484392014224,-0.184951592673518,-0.385262202812471
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F15","asymptomatic","macrophage","macrophage_S3",0.661242514606018,0.0513533450630427,-0.30412553965497
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F18","asymptomatic","macrophage","macrophage_S2",0.614257315948953,-0.0241075115632174,-0.401587277685713
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F20","asymptomatic","macrophage","macrophage_S2",1.04225511021002,-0.0997373423080705,-0.459279698307951
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F21","asymptomatic","macrophage","macrophage_S2",1.92528735546875,-0.0387460534366367,-0.43305803864736
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F22","asymptomatic","macrophage","macrophage_S2",1.41046462592262,0.239018287753033,-0.342692208399722
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F23","asymptomatic","macrophage","macrophage_S2",1.36253104199601,-0.00823096030513013,-0.35357075199534
"GSM8121894_athero_human_1.txt.gz","Plate_733s_F24","asymptomatic","macrophage","macrophage_S2",1.03967496274224,-0.08968172418849,-0.540095297354422
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G01","asymptomatic","macrophage","macrophage_S1",1.52534774185189,0.856486066261618,-0.364875504507044
