"file","cell","macrophage_score","vsmc_score","efferocytosis_score","contractile_vsmc_score","noncontractile_vsmc_score","major_cell_type","group"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F07",0.87501846498366,-0.580611337213573,0.240217615530281,-0.501225091032278,-0.0224536275452395,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F09",-1.15759048893532,2.45581584027968,-0.295323369356753,1.86044049146247,0.267241683377297,"vsmc","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F10",-0.155656069300668,-0.302456069755894,0.500230903984256,-0.284882105231861,0.0467834319008677,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F11",0.814366578011962,-0.514058672389736,0.0801492871925167,-0.449461907280404,-0.501866026068602,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F14",0.610083543752509,-0.269150257376977,-0.0591894012485055,-0.171479179588758,0.225983385304572,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F15",0.973552517012236,-0.427513389723612,-0.0348375680748976,-0.238703193740269,-0.0596521009743118,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F17",0.984161011314603,-0.316032967653547,0.232953208913509,-0.295441914707813,-0.0333549220232121,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F18",0.67901194941574,-0.348581844952592,0.184107047071895,-0.320757708162626,-0.0751029163673623,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F20",0.198368343976763,-0.175125180308947,0.0218244002720898,-0.138218852818898,-0.195970960294099,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F21",1.26793174101692,-0.532386623358725,-0.0387377594934382,-0.463716980256285,-0.335427179763436,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F22",1.08918731279067,-0.543204928287999,0.217864605700145,-0.472131217423498,-0.208894233508554,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_F23",0.417876094750377,-0.517175575235246,-0.276780597473517,-0.451886165049134,-0.15446664921799,"mast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G02",-1.52435443822527,3.20506966383996,-0.435083596776371,3.03605606084008,0.755508984446307,"vsmc","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G04",-0.033358334836093,0.182194568498036,-0.077078635503312,0.156858709940105,-0.0916449362376563,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G05",-0.0606879664184461,-0.213343343589186,0.159872957529301,-0.215572207102199,-0.358062448345578,"b_cell","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G07",-1.48622300571483,0.653773112449492,0.024344481979037,0.458851703150106,0.931720687626871,"fibroblast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G08",-1.53765105982789,0.581922941872562,0.119369689745821,0.510793756626734,0.943677589435404,"fibroblast","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G10",-0.778076459675966,2.03772150578142,-0.325122783642223,1.56930044338712,0.422465160467056,"vsmc","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G11",0.480236733162102,0.0186251883244455,0.243837525545376,-0.035152237836041,-0.220581561889566,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G12",-0.728919383228765,0.0263924703265805,-0.234129634160953,-0.0291110185010471,0.281692230447393,"t_nk","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G13",0.746320588632993,0.0993999077359629,0.354879290053359,0.0276725439284726,-0.230943675015529,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G15",-0.654452026030234,0.0396131137754689,-0.670684208027228,-0.0188282958185784,-0.127159793309182,"t_nk","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G16",0.630675151200848,0.0381680706173321,0.0896421362852365,0.0163870318276233,0.187996005127092,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G18",0.321927698360158,-0.049525343624371,0.249430673524351,-0.0488337871130924,0.204725296846988,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G21",-1.0373646222958,0.104447632004186,0.0598101582850695,0.0315985516926462,0.101210136408601,"endothelial","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G23",-0.403342103217989,0.21916942056313,0.0381291627608094,0.120826609460714,0.244426428254366,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_G24",-0.817132684051801,-0.343165375379806,-0.459290578675734,-0.294807600104801,-0.463119008386283,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H01",0.74465812708062,-0.373365195712906,0.320471790392849,-0.34003364764287,-0.620912796973114,"b_cell","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H03",-0.0530657797531608,-0.592898679632445,0.0534180869564258,-0.510781912913623,-0.138255482852984,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H04",0.575407695046016,-0.481737632402804,-0.237444040504822,-0.424323320623902,-0.545595045437897,"unassigned","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H05",1.04000718823544,-0.380345599910514,-0.050096785266865,-0.345462850907676,-0.740590764898365,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H06",0.614051916912652,-0.116531158363495,0.0179928010359907,-0.14027384081555,-0.22686893943652,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H09",0.800205412328977,-0.591772933626659,-0.335594161049566,-0.5099063326869,-0.646539115813183,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H10",0.0664561964136503,-0.377633308599771,0.472825296100722,-0.34335329099932,-0.518091486744272,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H12",0.348385538168567,-0.591379269397438,0.352456981367972,-0.509600149397506,-0.436468707891696,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H13",0.622302808761468,-0.702452870119545,-0.219797410196822,-0.595990727736923,-0.619473908391083,"macrophage","symptomatic"
"GSM8121901_athero_human_8.txt.gz","Plate_373s_H14",0.344594634077943,-0.506289631985081,0.266899175827272,-0.443419320299006,-0.457692946415089,"macrophage","symptomatic"
