"file","cell","group","major_cell_type","inflammatory_vsmc_associated_score","n_genes_used"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L07","asymptomatic","macrophage",1.06567640692797,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L08","asymptomatic","macrophage",1.18670047728756,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L09","asymptomatic","endothelial",-0.218162805358693,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L10","asymptomatic","endothelial",-0.0808266117146716,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L11","asymptomatic","endothelial",-0.214077498256923,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L12","asymptomatic","endothelial",0.0857674578643331,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L13","asymptomatic","endothelial",0.0463523144925633,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L15","asymptomatic","endothelial",-0.0038849872209124,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L18","asymptomatic","endothelial",-0.159206450767511,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L19","asymptomatic","endothelial",0.176877388762324,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L21","asymptomatic","endothelial",0.044740933077732,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_L22","asymptomatic","endothelial",-0.294244473586924,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M01","asymptomatic","endothelial",-0.437027738799509,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M02","asymptomatic","endothelial",-0.0818605419923187,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M03","asymptomatic","macrophage",1.0449768970708,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M05","asymptomatic","macrophage",0.510183861516452,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M06","asymptomatic","endothelial",-0.183684590105584,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M07","asymptomatic","endothelial",0.206996385153315,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M08","asymptomatic","endothelial",-0.363013947139611,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M09","asymptomatic","macrophage",0.185080006900328,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M10","asymptomatic","endothelial",0.139807660516308,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M11","asymptomatic","endothelial",0.310559261424132,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M14","asymptomatic","endothelial",0.0350564938569278,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M15","asymptomatic","endothelial",0.622334856589875,12
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M17","asymptomatic","macrophage",0.0378605656386439,12
