"sc_cluster","gene","mean_in","mean_out","logFC","pct_in","pct_out"
"C3","HLA-DPA1",4.5075251692967,1.80133239983883,2.70619276945787,1,0.775695284159613
"C3","LAPTM5",4.20608811056656,1.58709671818518,2.61899139238138,1,0.631045949214027
"C3","CD14",4.10501605778569,1.48777667404877,2.61723938373693,0.999068901303538,0.730804111245466
"C3","TYROBP",3.78045399059651,1.26466079697264,2.51579319362386,1,0.583282950423216
"C3","FCGR2A",3.47176421145985,0.979182359266622,2.49258185219323,1,0.5226723095526
"C3","HLA-DRB1",4.20425947102977,1.73912312602876,2.465136345001,1,0.726874244256348
"C3","HLA-DPB1",4.07759213026229,1.61842681491866,2.45916531534363,1,0.777811366384522
"C3","IFI30",3.81023125531382,1.35476257990985,2.45546867540398,1,0.684250302297461
"C3","HLA-DQB1",3.43152403115786,0.996537486192049,2.43498654496581,0.998137802607076,0.546402660217654
"C3","CD74",5.48523825927188,3.05247409097887,2.43276416829301,1,0.933494558645707
"C3","FOLR2",2.91653585356995,0.494517212390327,2.42201864117962,0.96927374301676,0.396614268440145
"C3","CD4",3.27213110075147,0.860545418714572,2.4115856820369,1,0.502116082224909
"C3","HLA-DMB",3.18946626132914,0.791966124577558,2.39750013675159,0.998137802607076,0.495012091898428
"C3","ENSG00000268173",3.80734719978753,1.43050059882455,2.37684660096298,1,0.740477629987908
"C3","TMEM176B",3.11032296478765,0.737058889931758,2.37326407485589,0.992551210428305,0.493047158403869
"C3","FCER1G",3.50254417561665,1.13415005054996,2.3683941250667,1,0.565447400241838
"C3","CD163",3.23639527900309,0.879907385172036,2.35648789383105,0.995344506517691,0.526299879081016
"C3","SLCO2B1",3.03551833229675,0.681754925220565,2.35376340707619,0.995344506517691,0.494558645707376
"C3","RASSF4",3.24003440162487,0.924457639481154,2.31557676214372,0.999068901303538,0.598397823458283
"C3","MS4A7",3.04938658041903,0.738583133663477,2.31080344675556,0.999068901303538,0.493047158403869
"C3","CD68",3.97293123791166,1.67113041524646,2.3018008226652,1,0.818923821039903
"C3","HLA-DQA1-ENSG00000196735",3.01117373222577,0.72840428026493,2.28276945196084,0.995344506517691,0.491384522370012
"C3","HLA-DMA",3.37450497070886,1.09413227566336,2.2803726950455,1,0.620314389359129
"C3","ITGB2",3.4750480533824,1.21315527175353,2.26189278162887,1,0.578597339782346
"C3","CSF1R",2.98881453612637,0.767263906947505,2.22155062917887,0.995344506517691,0.451027811366385
"C4","HLA-DRA",5.05224756312705,2.14668566944981,2.90556189367725,1,0.745328425821065
"C4","HLA-DPA1",4.74178504816655,1.9521998512183,2.78958519694825,1,0.789920724801812
"C4","MS4A6A",3.70764471744018,0.969348712244063,2.73829600519611,0.992012779552716,0.545016987542469
"C4","CD74",5.77172375362603,3.1813725094287,2.59035124419733,1,0.937712344280861
"C4","C1QA",3.81052572220627,1.33169623336011,2.47882948884616,0.995207667731629,0.599377123442809
"C4","HLA-DPB1",4.21479044290269,1.76222918150431,2.45256126139838,1,0.791902604756512
"C4","HLA-DRB1",4.32593207939584,1.88468003850375,2.44125204089209,1,0.744195922989808
"C4","C1QC",3.83013655604759,1.39322920391032,2.43690735213727,0.998402555910543,0.595413363533409
"C4","C1QB",3.64541263130756,1.26423431848977,2.38117831281779,1,0.589043035107588
"C4","TYROBP",3.61428374654503,1.43893853246524,2.17534521407979,0.998402555910543,0.609852774631937
"C4","MS4A7",3.04700020800522,0.885346131013072,2.16165407699215,0.976038338658147,0.52718006795017
"C4","STAB1",3.45886144428721,1.31366888562907,2.14519255865815,0.979233226837061,0.733154020385051
"C4","HLA-DQB1",3.2340244687887,1.16846680360255,2.06555766518615,0.992012779552716,0.57559456398641
"C4","FCGR2A",3.20190985418043,1.16117634248286,2.04073351169757,0.992012779552716,0.553652321630804
"C4","AIF1",3.01500618345923,0.982953322693135,2.0320528607661,0.988817891373802,0.510192525481314
"C4","HLA-DQA1-ENSG00000196735",2.87778787835382,0.884998314665028,1.99278956368879,0.985623003194888,0.52420724801812
"C4","CD14",3.67963136103655,1.69145929920153,1.98817206183502,0.996805111821086,0.7480181200453
"C4","HLA-DMA",3.22282344540189,1.2521956395114,1.97062780589049,0.996805111821086,0.644677236693092
"C4","FCER1G",3.26382770519466,1.30550864037358,1.95831906482108,0.993610223642173,0.593573046432616
"C4","RASSF4",3.04432864220187,1.08865500568149,1.95567363652037,0.961661341853035,0.627123442808607
"C4","F13A1",2.5791827606319,0.631642454003625,1.94754030662828,0.921725239616613,0.398782559456399
"C4","LAPTM5",3.64268403901411,1.80312150479032,1.83956253422379,0.998402555910543,0.654586636466591
"C4","CSF1R",2.73256314003816,0.930863575099169,1.80169956493899,0.971246006389776,0.487684031710079
"C4","CD163",2.8536480567277,1.06327464700396,1.79037340972374,0.958466453674121,0.55931483578709
"C4","FYB1",2.60168832058581,0.815365774225564,1.78632254636025,0.963258785942492,0.473103057757644
"C4","SAT1",4.07342740649834,2.28812307245249,1.78530433404585,0.995207667731629,0.931058890147225
"C4","SLCO2B1",2.62827412872392,0.86712028164847,1.76115384707545,0.953674121405751,0.530011325028313
"C4","HLA-DMB",2.7427198686973,0.983605890015305,1.759113978682,0.972843450479233,0.52916194790487
"C4","MAFB",2.97105472060921,1.21967964425695,1.75137507635226,0.969648562300319,0.641138165345413
"C4","PTPRC",2.63303813760825,0.887642445093964,1.74539569251429,0.971246006389776,0.477208380520951
"C5","SPP1",5.00458248394337,1.48624279986665,3.51833968407672,0.996296296296296,0.646220930232558
"C5","LAPTM5",4.474141658007,1.6560342696622,2.81810738834479,1,0.645203488372093
"C5","IFI30",4.08754433751091,1.41633527376552,2.6712090637454,1,0.696366279069767
"C5","CD68",4.34528088920311,1.71561765356587,2.62966323563724,1,0.825872093023256
"C5","ENSG00000268173",4.08899701013895,1.48854582502653,2.60045118511242,1,0.750436046511628
"C5","ITGB2",3.79487882328661,1.26229433726627,2.53258448602034,1,0.594767441860465
"C5","CCL3",3.61987351874525,1.19057402881552,2.42929948992973,0.997530864197531,0.591569767441861
"C5","PLAUR",3.39597718245033,0.970730798905281,2.42524638354505,0.998765432098765,0.675145348837209
"C5","LSP1",3.56526799529843,1.19603707916048,2.36923091613795,0.998765432098765,0.711337209302326
"C5","CAPG",3.70764234514261,1.34030134126319,2.36734100387942,1,0.751598837209302
"C5","TYROBP",3.71389938322994,1.36903269160689,2.34486669162305,1,0.599273255813954
"C5","LILRB4",3.10813189654003,0.80411734727503,2.304014549265,0.996296296296296,0.464098837209302
"C5","PLIN2",3.35682031103961,1.0701947369583,2.28662557408131,0.997530864197531,0.69796511627907
"C5","LCP1",3.27121871750073,0.994383595969002,2.27683512153172,1,0.494331395348837
"C5","ENSG00000277089",3.33685361103508,1.08342200893138,2.2534316021037,0.996296296296296,0.590116279069767
"C5","APOE",3.47978433823366,1.24031835176217,2.23946598647149,0.993827160493827,0.762063953488372
"C5","SLC11A1",2.87365465005165,0.644103317828071,2.22955133222358,0.987654320987654,0.539098837209302
"C5","FCER1G",3.4358752143612,1.23287939758986,2.20299581677134,1,0.582122093023256
"C5","APOC1",2.85366095535236,0.743946795501075,2.10971415985129,0.988888888888889,0.536918604651163
"C5","RGS1",3.06380173650214,0.967086685039881,2.09671505146226,0.992592592592593,0.507267441860465
"C5","TREM2",2.61568851355743,0.557019959447589,2.05866855410985,0.981481481481482,0.413808139534884
"C5","CD36",2.57128349438822,0.516237786104476,2.05504570828375,0.951851851851852,0.52703488372093
"C5","FABP5",2.81311383241654,0.762715808456543,2.05039802396,0.997530864197531,0.554505813953488
"C5","CCL4",3.05050466581266,1.00531879925552,2.04518586655714,0.991358024691358,0.551162790697674
"C5","ITGAX",2.84477826958632,0.841291631765389,2.00348663782093,0.997530864197531,0.537209302325581
"C5","CD14",3.64556945987766,1.64229745044587,2.00327200943179,0.998765432098765,0.741133720930233
"C5","UCP2",2.97516831511433,0.998961832425108,1.97620648268922,0.992592592592593,0.537354651162791
"C5","LYZ",3.10907230747266,1.14172216744634,1.96735014002632,1,0.711191860465116
"C5","MMP9",2.27215688380739,0.311568815492199,1.96058806831519,0.914814814814815,0.340552325581395
"C5","GPNMB",4.09895025159633,2.14701612097894,1.95193413061738,0.997530864197531,0.918313953488372
"C6","VWF",4.0642866214825,0.0936844219830268,3.97060219949947,0.987938596491228,0.134110357037474
"C6","PECAM1",4.24316771648709,0.781645660352813,3.46152205613427,0.996710526315789,0.611242254352316
"C6","PLVAP",3.40575288188005,0.0788805100749296,3.32687237180512,0.984649122807018,0.128799055768663
"C6","HYAL2",3.38305279808237,0.239480260214453,3.14357253786792,0.993421052631579,0.310563588079079
"C6","RAMP2",3.07514589706981,0.0431883141575395,3.03195758291227,0.994517543859649,0.0854234287400413
"C6","CLEC14A",3.04266125486796,0.0347833995464692,3.00787785532149,0.990131578947368,0.0693419887872529
"C6","ECSCR",3.03165961574491,0.0346682363111958,2.99699137943371,0.987938596491228,0.0727353201534376
"C6","CDH5",2.97065973503015,0.0268097111448779,2.94385002388528,0.984649122807018,0.0613750368840366
"C6","HSPG2",3.94581438646889,1.04601248825947,2.89980189820942,0.99890350877193,0.709206255532606
"C6","TSPAN7",2.75522107913439,0.0777510683909456,2.67747001074345,0.978070175438597,0.119504278548244
"C6","CALCRL",3.2294350925098,0.585127673658076,2.64430741885172,0.996710526315789,0.579964591324875
"C6","EGFL7",2.75622660967919,0.167546589506566,2.58868002017263,0.982456140350877,0.21864856889938
"C6","CD34",2.94269949185944,0.362668522007867,2.58003096985158,0.993421052631579,0.524048391856005
"C6","RAMP3",2.67373055785558,0.10166186778531,2.57206869007027,0.969298245614035,0.15491295367365
"C6","ESAM",3.14832570922,0.592061466456737,2.55626424276326,0.995614035087719,0.514753614635586
"C6","ID1",2.8881322468201,0.365097397036158,2.52303484978394,0.987938596491228,0.381085866037179
"C6","IFI27",3.22218464676297,0.726576581952201,2.49560806481077,1,0.660666863381528
"C6","CCL14",2.54588558479281,0.0553020724470314,2.49058351234578,0.969298245614035,0.0941280613750369
"C6","SLCO2A1",2.45838645181305,0.0271314968707015,2.43125495494235,0.948464912280702,0.0570964886397167
"C6","LDLRAD2",3.22013846813939,0.805653257968857,2.41448521017054,0.996710526315789,0.601357332546474
"C6","ACKR1",2.4521264659885,0.0453209068065363,2.40680555918196,0.93969298245614,0.0761286515196223
