"file","cell","group","major_cell_type","subcluster","vsmc_score","contractile_vsmc_score","noncontractile_vsmc_score"
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F02","asymptomatic","vsmc","vsmc_S2",0.930413977427436,0.786859974949969,0.219489036874897
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F04","asymptomatic","vsmc","vsmc_S1",0.774742116113293,0.630327563097703,-0.105868973454825
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F06","asymptomatic","vsmc","vsmc_S1",0.697215807020969,0.652141130209588,-0.188240712764649
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F09","asymptomatic","vsmc","vsmc_S1",0.800521135328205,0.782946985317371,-0.195935504542694
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F17","asymptomatic","vsmc","vsmc_S2",0.929453506655261,0.833972029865835,0.250923605200797
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F19","asymptomatic","vsmc","vsmc_S1",0.822056965776013,0.508226271887505,0.016417713882158
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F20","asymptomatic","vsmc","vsmc_S1",0.849160475551007,0.616919899683481,0.074404917334605
"GSM8121906_athero_human_13.txt.gz","Plate_589s_F23","asymptomatic","vsmc","vsmc_S2",1.12446787614976,0.925921377586555,0.181949540682759
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G03","asymptomatic","vsmc","vsmc_S2",1.16945857622187,0.852956003466323,0.134581917067664
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G04","asymptomatic","vsmc","vsmc_S1",0.763651834946423,0.681086075676102,-0.457442852512025
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G14","asymptomatic","vsmc","vsmc_S2",0.829289131029197,0.798602361831013,0.133765665421937
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G17","asymptomatic","vsmc","vsmc_S2",0.897152126570387,0.754221922709263,0.223823482886367
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G18","asymptomatic","vsmc","vsmc_S1",0.785640395849601,0.745191918051438,-0.101606016805946
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G21","asymptomatic","vsmc","vsmc_S1",0.94910472607907,0.81630894800216,-0.0913040482058724
"GSM8121906_athero_human_13.txt.gz","Plate_589s_G24","asymptomatic","vsmc","vsmc_S1",1.03330205227642,0.846017555898447,-0.0374195472567192
"GSM8121906_athero_human_13.txt.gz","Plate_589s_H01","asymptomatic","vsmc","vsmc_S1",1.07585345484338,1.12629261909155,-0.158435225432883
"GSM8121906_athero_human_13.txt.gz","Plate_589s_H02","asymptomatic","vsmc","vsmc_S2",0.943637805155583,0.990137934914061,0.0767538947685938
"GSM8121906_athero_human_13.txt.gz","Plate_589s_H05","asymptomatic","vsmc","vsmc_S1",1.0180519711898,0.961586563665272,-0.0716059593008748
"GSM8121906_athero_human_13.txt.gz","Plate_589s_H12","asymptomatic","vsmc","vsmc_S1",0.774454563869721,0.771714742163997,-0.298909095764351
"GSM8121906_athero_human_13.txt.gz","Plate_589s_H13","asymptomatic","vsmc","vsmc_S1",1.24299545382191,0.860675886914666,-0.00399325031288965
"GSM8121906_athero_human_13.txt.gz","Plate_589s_H17","asymptomatic","vsmc","vsmc_S1",0.874254237235345,0.790591847867077,-0.0896972633402215
"GSM8121906_athero_human_13.txt.gz","Plate_589s_I01","asymptomatic","vsmc","vsmc_S1",0.938939983201956,1.33157800855695,-0.141265205621141
"GSM8121906_athero_human_13.txt.gz","Plate_589s_I05","asymptomatic","vsmc","vsmc_S2",1.07450539487006,0.882164033262482,0.33914418385634
"GSM8121906_athero_human_13.txt.gz","Plate_589s_I09","asymptomatic","vsmc","vsmc_S1",1.25730338304217,1.32388663486462,-0.222974089067827
"GSM8121906_athero_human_13.txt.gz","Plate_589s_I12","asymptomatic","vsmc","vsmc_S1",0.743862104475942,0.799203604265777,0.0644453791396454
"GSM8121906_athero_human_13.txt.gz","Plate_589s_J10","asymptomatic","vsmc","vsmc_S1",0.752226526200994,0.709812068290313,0.00387056016331597
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K02","asymptomatic","vsmc","vsmc_S1",1.0365392930332,0.894203731390999,-0.189350020115186
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K05","asymptomatic","vsmc","vsmc_S1",0.933435838548379,0.785135641168442,0.0533608732882706
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K06","asymptomatic","vsmc","vsmc_S1",1.08014073277992,0.911645657538528,-0.158217605866957
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K07","asymptomatic","vsmc","vsmc_S1",0.79702898559924,0.721964989997533,-0.0438019040851658
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K09","asymptomatic","vsmc","vsmc_S1",0.596639299902581,0.493401680545672,0.000991464642061494
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K11","asymptomatic","vsmc","vsmc_S1",0.406911455577146,0.317746464132687,0.106259314561408
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K13","asymptomatic","vsmc","vsmc_S2",0.976676738886244,0.720753619829822,0.141887185462135
"GSM8121906_athero_human_13.txt.gz","Plate_589s_K19","asymptomatic","vsmc","vsmc_S1",0.937248116574841,0.761613759440476,-0.0504244308669484
