"file","cell","group","major_cell_type","sc_cluster","PC1","PC2"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M08","asymptomatic","endothelial","C6",0.477337286683286,6.2413478167112
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M09","asymptomatic","macrophage","C3",-17.9399994894156,0.14536534577461
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M10","asymptomatic","endothelial","C6",3.84898257725039,23.6021459409065
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M11","asymptomatic","endothelial","C6",3.38689728973665,15.860726333963
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M14","asymptomatic","endothelial","C6",4.64532085151843,12.0788728221837
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M15","asymptomatic","endothelial","C6",6.06000295568459,19.3501421530159
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M17","asymptomatic","macrophage","C5",-19.3652433120738,7.76886548403586
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M20","asymptomatic","endothelial","C6",6.24028295436736,24.9040518856683
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M22","asymptomatic","endothelial","C6",3.49208057623267,12.1659434813154
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M23","asymptomatic","endothelial","C6",5.19829730084419,17.0603399156497
"GSM8121894_athero_human_1.txt.gz","Plate_730s_M24","asymptomatic","endothelial","C6",7.52192629845278,15.5515999669923
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N03","asymptomatic","endothelial","C6",3.60898589721575,19.4694142625036
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N05","asymptomatic","endothelial","C6",6.43379373097128,13.1498678554291
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N06","asymptomatic","unassigned","C6",3.04202595284933,19.3823123845774
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N07","asymptomatic","macrophage","C5",-16.256844977551,5.40654979284744
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N08","asymptomatic","endothelial","C6",5.85299604847347,22.8137967480146
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N09","asymptomatic","endothelial","C6",3.17630748511398,13.3046888596144
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N10","asymptomatic","macrophage","C3",-16.3305837358653,2.56314375332253
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N12","asymptomatic","endothelial","C6",4.0985655030628,18.1268333410327
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N13","asymptomatic","endothelial","C6",4.98048927127609,22.0205562273314
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N14","asymptomatic","macrophage","C5",-19.2542457743611,8.25926820729634
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N16","asymptomatic","endothelial","C6",4.09105261001368,20.77684982175
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N19","asymptomatic","endothelial","C6",4.17049028201161,14.7945821295377
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N22","asymptomatic","b_cell","C6",1.78000702794357,10.0853279078329
"GSM8121894_athero_human_1.txt.gz","Plate_730s_N23","asymptomatic","endothelial","C6",3.27073857320097,17.155626523885
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O01","asymptomatic","endothelial","C6",7.21147249347191,19.969946854813
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O03","asymptomatic","endothelial","C6",3.93975576801924,13.9869687580084
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O05","asymptomatic","endothelial","C6",7.01525799265469,22.3093183916967
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O06","asymptomatic","macrophage","C3",-17.8064830221089,3.69151898767315
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O07","asymptomatic","endothelial","C6",5.92218923427815,20.1856384151287
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O10","asymptomatic","endothelial","C6",4.85308219222613,17.351399889009
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O11","asymptomatic","endothelial","C6",4.77339767805691,16.3211971846958
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O13","asymptomatic","endothelial","C6",1.88328665343466,8.49502474170947
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O18","asymptomatic","endothelial","C6",4.35756927929969,12.2150908485366
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O20","asymptomatic","endothelial","C6",4.80040000572216,25.2187307024006
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O21","asymptomatic","endothelial","C6",4.37858916912404,21.3997811570588
"GSM8121894_athero_human_1.txt.gz","Plate_730s_O22","asymptomatic","endothelial","C6",5.13817483159495,16.9541937468496
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P01","asymptomatic","endothelial","C6",1.92710297772753,14.5127142390428
