"gene","selection","variance","detection_fraction"
"TUBB","high_variance",0.683201614153275,0.976202860858257
"HERPUD1","high_variance",0.683022708612433,0.898049414824447
"OS9","high_variance",0.682503311314106,0.94148244473342
"C3AR1","high_variance",0.679834070573639,0.47555266579974
"SRRM2","high_variance",0.67915481555029,0.894668400520156
"TCF4","high_variance",0.679013092025294,0.911443433029909
"NR4A2","high_variance",0.67872247097913,0.569440832249675
"UACA","high_variance",0.678609404592181,0.798049414824447
"CALCRL","high_variance",0.675729763031386,0.629388816644993
"FGL2","high_variance",0.675009866223906,0.777373211963589
"IL1RN","high_variance",0.673727339441603,0.424707412223667
"CPE","high_variance",0.672956783884908,0.5851755526658
"RPN2","high_variance",0.669219210683444,0.952535760728218
"SNRPN","high_variance",0.668347250294852,0.870221066319896
"TREM2","canonical_or_high_variance",0.667848824056336,0.473602080624187
"HEG1","high_variance",0.666915505278402,0.657347204161248
"COL18A1","high_variance",0.666486330406804,0.644343302990897
"NAGK","high_variance",0.665269910438969,0.835890767230169
"ACADVL","high_variance",0.663935571727579,0.860468140442133
"BTG2","high_variance",0.662388887810692,0.760078023407022
"VCL","high_variance",0.662222844380706,0.801300390117035
"FLOT1","high_variance",0.661117235246923,0.913394018205462
"TAF10","high_variance",0.660628675983028,0.951235370611183
"NAMPT","high_variance",0.66005044576594,0.781924577373212
"RNF213","high_variance",0.659864490572009,0.834980494148244
"EID1","high_variance",0.659813882654979,0.95149544863459
"SPTAN1","high_variance",0.658721473679321,0.889336801040312
"GGT5","high_variance",0.65866784267082,0.610923276983095
"AKAP13","high_variance",0.657772356896623,0.928478543563069
"SLC40A1","high_variance",0.657213499426075,0.76072821846554
"ZFP36L2","high_variance",0.656595764204063,0.92405721716515
"OMD","high_variance",0.656535612350304,0.574512353706112
"PLXDC2","high_variance",0.656389074382022,0.921196358907672
"ERCC-00111","high_variance",0.655269747882468,0.904291287386216
"MSN","high_variance",0.654627247990224,0.973602080624187
"GNAI2","high_variance",0.653769179461413,0.949934980494148
"TMEM176A","high_variance",0.653394986182451,0.5
"CAPN2","high_variance",0.653280290774862,0.910273081924577
"CCND1","high_variance",0.652094831177276,0.751235370611183
"SLC29A1","high_variance",0.65186987841358,0.806501950585176
"MAN2B1","high_variance",0.65043591422543,0.714564369310793
"EIF3L","high_variance",0.650090623873665,0.963589076723017
"THBD","high_variance",0.64985005867749,0.68296488946684
"ERCC-00145","high_variance",0.649763010153866,0.931729518855657
"HEXA","high_variance",0.649675801906321,0.899219765929779
"ENSG00000273413","high_variance",0.64750787935505,0.789076723016905
"CREG1","high_variance",0.647499847154316,0.892457737321196
"AP2M1","high_variance",0.647457988255201,0.96072821846554
"MAP4","high_variance",0.647036020318163,0.925617685305592
"LY6E","high_variance",0.646156073502242,0.884005201560468
"HMCN1","high_variance",0.645235505839603,0.600260078023407
"CYBA","high_variance",0.644989717182211,0.756046814044213
"GAA","high_variance",0.644416625372827,0.771521456436931
"KDELR2","high_variance",0.643848135454991,0.915604681404421
"TNFAIP2","high_variance",0.643349941753793,0.640442132639792
"HDLBP","high_variance",0.643283264537249,0.920936280884265
"COL5A1","canonical_or_high_variance",0.64243792435853,0.513784135240572
"ITGA5","high_variance",0.64230550511485,0.721196358907672
"HLA-DRB5","high_variance",0.641489734022528,0.656697009102731
"FABP5","high_variance",0.640815827531572,0.601170351105332
