"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"KIF14",0.15305817790254,,0.260013972377538,0.618716111776682,0.968750335997165,1.97595818984431,1.97595818984431,0.260013972377538,0.618716111776682
"KIF15",0.313423258646757,,1.14949070780759,0.303295112106377,0.950898411535146,1.41434255069107,1.41434255069107,1.14949070780759,0.303295112106377
"KIF16B",-0.0213901728250237,,0.0300095229104713,0.865154770039553,0.990584327859704,5.03719008054365,5.03719008054365,0.0300095229104713,0.865154770039553
"KIF17",0.127061372487988,,0.160272153562581,0.695506965553717,0.97526266368039,-0.442071801884434,-0.442071801884434,0.160272153562581,0.695506965553717
"KIF18A",0.0754001083534585,,0.130645568037883,0.72361448678914,0.977264589146908,0.923279941726953,0.923279941726953,0.130645568037883,0.72361448678914
"KIF18B",0.0294384242326826,,0.0233375482609598,0.880944566335698,0.991549319005946,1.82928143817233,1.82928143817233,0.0233375482609598,0.880944566335698
"KIF19",0.64914304105342,,2.59794721462381,0.13123969607387,0.950898411535146,0.288803293491143,0.288803293491143,2.59794721462381,0.13123969607387
"KIF1B",-0.0487659247121401,,0.140921014232441,0.713461510260831,0.977203362664365,7.21503511457712,7.21503511457712,0.140921014232441,0.713461510260831
"KIF1C",-0.0794137005901408,,0.1613006929213,0.694529958753467,0.97526266368039,6.75918262560868,6.75918262560868,0.1613006929213,0.694529958753467
"KIF20A",0.300798593049024,,0.91712127108808,0.355826601530786,0.950898411535146,1.63750960614999,1.63750960614999,0.91712127108808,0.355826601530786
"KIF20B",-0.0395366099292859,,0.096094770514879,0.761513786048179,0.978692727133929,4.09805492133816,4.09805492133816,0.096094770514879,0.761513786048179
"KIF21A",-0.164526004549475,,0.682690341042404,0.42366759183353,0.950898411535146,3.51849624425175,3.51849624425175,0.682690341042404,0.42366759183353
"KIF21B",0.343382490456974,,1.25748541551664,0.282550199146969,0.950898411535146,3.86166959210321,3.86166959210321,1.25748541551664,0.282550199146969
"KIF22",0.124948023924219,,0.961102597549702,0.344922710630525,0.950898411535146,3.22743471891353,3.22743471891353,0.961102597549702,0.344922710630525
"KIF23",-0.0138163207815972,,0.011947234500229,0.91464238200914,0.994336816291689,3.11262101702613,3.11262101702613,0.011947234500229,0.91464238200914
"KIF24",0.173997298032283,,0.537803769604043,0.476451530404813,0.951410303355874,1.98809717368329,1.98809717368329,0.537803769604043,0.476451530404813
"KIF26A",0.233101631315488,,0.288522395717906,0.600321822435282,0.964873412158419,0.423573466963813,0.423573466963813,0.288522395717906,0.600321822435282
"KIF26B",-0.141839132899607,,0.105614834042162,0.750398975054487,0.978452620062529,2.34928377016367,2.34928377016367,0.105614834042162,0.750398975054487
"KIF27",-0.0209344812319599,,0.0392321274343113,0.846073913708139,0.989082299729721,3.74470995528148,3.74470995528148,0.0392321274343113,0.846073913708139
"KIF2A",0.0542704043251689,,0.223117457873855,0.644558446640372,0.970988497364512,4.9872328479244,4.9872328479244,0.223117457873855,0.644558446640372
"KIF2C",0.292473492984378,,1.13318733473217,0.306608209341761,0.950898411535146,1.38825372364337,1.38825372364337,1.13318733473217,0.306608209341761
"KIF3A",-0.148126173653661,,1.06267703385595,0.321528973467544,0.950898411535146,4.81127452996252,4.81127452996252,1.06267703385595,0.321528973467544
"KIF3B",-0.131269949647674,,1.30735437249265,0.273630812583805,0.950898411535146,5.66512246653982,5.66512246653982,1.30735437249265,0.273630812583805
"KIF3C",0.248301219669321,,2.29293359745571,0.15405423080184,0.950898411535146,3.2187261592246,3.2187261592246,2.29293359745571,0.15405423080184
