"file","major_cell_type","n_cells","total_cells","fraction_of_cells","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121898_athero_human_5.txt.gz","fibroblast",41,223,0.183856502242152,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121898_athero_human_5.txt.gz","t_nk",4,223,0.0179372197309417,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121899_athero_human_6.txt.gz","t_nk",10,251,0.0398406374501992,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","b_cell",16,251,0.0637450199203187,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","unassigned",87,251,0.346613545816733,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","endothelial",64,251,0.254980079681275,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","vsmc",21,251,0.0836653386454183,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","fibroblast",30,251,0.119521912350598,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","macrophage",5,251,0.0199203187250996,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121899_athero_human_6.txt.gz","mast",18,251,0.0717131474103586,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121900_athero_human_7.txt.gz","unassigned",46,650,0.0707692307692308,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121900_athero_human_7.txt.gz","t_nk",73,650,0.112307692307692,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121900_athero_human_7.txt.gz","b_cell",12,650,0.0184615384615385,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121900_athero_human_7.txt.gz","macrophage",193,650,0.296923076923077,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121900_athero_human_7.txt.gz","endothelial",14,650,0.0215384615384615,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121900_athero_human_7.txt.gz","mast",10,650,0.0153846153846154,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
