"cohort","signature","gene","nominal_weight","spearman_rho_with_signature_score","P_value","mean_standardized_expression","sd_standardized_expression","FDR"
"GSE311535","efferocytosis","GAS6",0.0333333333333333,-0.286713286713287,0.366251460583582,5.85180052562843e-16,1,0.422597839134903
"GSE311535","efferocytosis","PROS1",0.0333333333333333,0.160839160839161,0.617523489540143,-1.02695629777827e-15,1,0.686137210600158
"GSE311535","efferocytosis","MFGE8",0.0333333333333333,-0.405594405594406,0.1908358740045,6.31439345255558e-16,1,0.248916357397174
"GSE311535","efferocytosis","ITGAV",0.0333333333333333,0.468531468531469,0.124454791188834,2.01113856109746e-15,1,0.177792558841191
"GSE311535","efferocytosis","ITGB3",0.0333333333333333,0.566433566433566,0.0548421197754078,6.93889390390723e-18,1,0.0914035329590131
"GSE311535","efferocytosis","ITGB5",0.0333333333333333,-0.048951048951049,0.879918578878675,-1.26808286093905e-15,1,0.879918578878675
"GSE311535","efferocytosis","CD36",0.0333333333333333,0.552447552447553,0.0625114832796152,3.93294338069117e-17,1,0.098702342020445
"GSE311535","efferocytosis","STAB1",0.0333333333333333,0.34965034965035,0.26523878689279,5.25064430230311e-16,1,0.331548483615987
"GSE311535","efferocytosis","STAB2",0.0333333333333333,-0.608391608391608,0.0358059970520293,3.06377463908195e-17,1,0.0631870536212281
"GSE311535","efferocytosis","LRP1",0.0333333333333333,0.0629370629370629,0.845930921228779,-4.85722573273506e-16,1,0.875100952995289
"GSE311535","efferocytosis","TIMD4",0.0333333333333333,0.426573426573427,0.166699987624945,3.93158812797556e-17,1,0.227318164943107
"GSE311535","efferocytosis","ANXA1",0.0333333333333333,0.48951048951049,0.106252371759346,-1.81916475517722e-15,1,0.159378557639019
"GSE311535","efferocytosis","ANXA5",0.0333333333333333,0.685314685314685,0.0139059688143628,2.30139981146256e-16,1,0.0278119376287255
"GSE311535","efferocytosis","TREM2",0.0333333333333333,0.916083916083916,2.84280453485474e-05,3.67761376907083e-16,1,0.000418329321454585
"GSE311535","efferocytosis","APOE",0.0333333333333333,0.895104895104895,8.36658642909169e-05,-2.50973038828292e-16,1,0.000418329321454585
"GSE311535","efferocytosis","ABCA1",0.0333333333333333,0.93006993006993,1.17022279286597e-05,3.46944695195361e-16,1,0.00035106683785979
"GSE311535","efferocytosis","ABCG1",0.0333333333333333,0.902097902097902,5.9978574465377e-05,-3.87439646337695e-16,1,0.000418329321454585
"GSE311535","efferocytosis","NR1H3",0.0333333333333333,0.853146853146853,0.000418117940414995,-2.31296463463574e-18,1,0.00179193403034998
"GSE311535","efferocytosis","PPARG",0.0333333333333333,0.699300699300699,0.0113741986426909,-2.08166817117217e-17,1,0.0243732828057663
"GSE311535","efferocytosis","MARCO",0.0333333333333333,0.895104895104895,8.36658642909169e-05,1.12910621246261e-16,1,0.000418329321454585
"GSE311535","efferocytosis","MSR1",0.0333333333333333,0.734265734265734,0.00654349014683787,4.43802348025259e-16,1,0.0151003618773182
"GSE311535","efferocytosis","FCGR1A",0.0333333333333333,0.818181818181818,0.00114310508680406,5.7881375293128e-16,1,0.00381035028934687
"GSE311535","efferocytosis","FCGR3A",0.0333333333333333,0.671328671328671,0.0168314561868934,-8.67361737988404e-17,1,0.0315589803504251
"GSE311535","efferocytosis","CTSD",0.0333333333333333,0.748251748251748,0.00512408169875307,-9.76649316974942e-16,1,0.0128102042468827
"GSE311535","efferocytosis","CTSB",0.0333333333333333,0.909090909090909,4.1910446530342e-05,-2.3039296165317e-18,1,0.000418329321454585
"GSE311535","efferocytosis","LAMP1",0.0333333333333333,0.79020979020979,0.00222313540999092,3.81639164714898e-16,1,0.00666940622997277
"GSE311535","efferocytosis","LAMP2",0.0333333333333333,0.839160839160839,0.000642825988627823,4.97287396446685e-16,1,0.00241059745735433
